min_cluster_size,min_samples,n_neighbors,min_dist,n_components,num_topics,outlier_ratio,silhouette_score,composite_score
20,5,10,0.0,5,20,0.13205869275233437,0.6043943762779236,0.7757569268617486
20,10,15,0.0,5,19,0.1578479324144064,0.6390858292579651,0.7723418468210419
20,10,10,0.0,5,19,0.16007114273010226,0.6297755241394043,0.767374085907196
20,15,10,0.0,5,19,0.17385504668741664,0.6403973698616028,0.7673295500971253
20,5,15,0.0,5,18,0.12627834593152512,0.6251548528671265,0.7671222627141732
20,5,25,0.0,5,18,0.13116940862605603,0.6052801012992859,0.7564667525655591
20,15,25,0.0,5,15,0.14273010226767452,0.6552868485450745,0.7449235460515974
20,10,25,0.0,5,15,0.14584259670964872,0.6544061899185181,0.7434378766149561
20,10,35,0.0,5,15,0.16007114273010226,0.6459829211235046,0.7346674145500413
20,10,15,0.1,5,19,0.24055135615829257,0.6150043606758118,0.7325589876487129
20,5,10,0.1,5,23,0.21431747443308136,0.5664075016975403,0.7298722597123146
30,5,10,0.0,5,16,0.16985326811916407,0.6194332838058472,0.7292963338709239
20,5,15,0.1,5,20,0.1840818141396176,0.5325195789337158,0.7252051755713058
20,15,35,0.0,5,14,0.1480658070253446,0.6353905200958252,0.7241027015842506
20,5,35,0.0,5,15,0.12761227212094264,0.5963203310966492,0.7236798537511623
30,15,25,0.0,5,13,0.1627389951089373,0.6525588631629944,0.7166928401352194
30,10,25,0.0,5,13,0.16540684748777235,0.6507486701011658,0.7149445049248043
30,10,10,0.0,5,14,0.14762116496220543,0.6145310997962952,0.7148715871715609
20,10,25,0.1,5,15,0.1925300133392619,0.6174180507659912,0.7104526181759544
20,15,25,0.1,5,15,0.21565140062249888,0.631227433681488,0.708574354938795
20,5,25,0.1,5,15,0.15651400622498887,0.5756441950798035,0.7042599856071655
40,10,35,0.0,5,2,0.0,0.7362474799156189,0.7013113659620285
50,10,35,0.0,5,2,0.0,0.7362474799156189,0.7013113659620285
40,15,35,0.0,5,2,0.0,0.7362474799156189,0.7013113659620285
50,15,35,0.0,5,2,0.0,0.7362474799156189,0.7013113659620285
30,10,35,0.0,5,12,0.15562472209871053,0.6302645802497864,0.6991504083778551
30,5,10,0.1,5,16,0.22409959982214317,0.5823564529418945,0.6936255438861024
20,5,15,0.25,5,18,0.24455313472654513,0.5349621176719666,0.6851393557980942
40,15,25,0.0,5,2,0.0,0.7000399231910706,0.6850179654359818
50,15,25,0.0,5,2,0.0,0.7000399231910706,0.6850179654359818
40,10,25,0.0,5,11,0.19341929746554024,0.6438367962837219,0.6820298042147358
30,5,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
40,5,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
40,15,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
40,10,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
20,5,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
50,15,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
30,15,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
30,10,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
50,5,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
50,10,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
20,10,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
20,15,35,0.1,5,2,0.0,0.6901093125343323,0.6805491906404495
30,15,35,0.0,5,11,0.16585148955091153,0.6176562309265137,0.6798972825741121
30,5,35,0.0,5,11,0.1498443752779013,0.5999241471290588,0.6775203348608111
40,5,35,0.0,5,10,0.16407292129835482,0.6128815412521362,0.6683711711090371
30,10,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
40,5,25,0.1,5,2,0.0,0.6587196588516235,0.6664238464832306
